STATION,NAME,DATE,DAPR,MDPR,PRCP,SNOW,SNWD,TMAX,TMIN,TOBS
USC00041253,"CACHUMA LAKE, CA US",1952-05-19,,,0,0,0,92,48,67
USC00041253,"CACHUMA LAKE, CA US",1952-05-20,,,0,0,0,96,53,69
USC00041253,"CACHUMA LAKE, CA US",1952-05-21,,,0,0,0,88,46,49
USC00041253,"CACHUMA LAKE, CA US",1952-05-22,,,0,0,0,78,44,50
USC00041253,"CACHUMA LAKE, CA US",1952-05-23,,,0,0,0,86,43,66
USC00041253,"CACHUMA LAKE, CA US",1952-05-24,,,0,0,0,92,49,69
USC00041253,"CACHUMA LAKE, CA US",1952-05-25,,,0,0,0,90,47,52
USC00041253,"CACHUMA LAKE, CA US",1952-05-26,,,0,0,0,85,46,55
USC00041253,"CACHUMA LAKE, CA US",1952-05-27,,,0,0,0,82,47,54
USC00041253,"CACHUMA LAKE, CA US",1952-05-28,,,0,0,0,80,46,51
USC00041253,"CACHUMA LAKE, CA US",1952-05-29,,,0,0,0,78,42,52
USC00041253,"CACHUMA LAKE, CA US",1952-05-30,,,0,0,0,80,44,50
USC00041253,"CACHUMA LAKE, CA US",1952-05-31,,,0,0,0,74,47,54
USC00041253,"CACHUMA LAKE, CA US",1952-06-01,,,0,0,0,62,47,51
USC00041253,"CACHUMA LAKE, CA US",1952-06-02,,,0,0,0,70,37,50
USC00041253,"CACHUMA LAKE, CA US",1952-06-03,,,0,0,0,75,44,51
USC00041253,"CACHUMA LAKE, CA US",1952-06-04,,,0,0,0,75,43,57
USC00041253,"CACHUMA LAKE, CA US",1952-06-05,,,0,0,0,83,46,54
USC00041253,"CACHUMA LAKE, CA US",1952-06-06,,,0,0,0,74,53,56
USC00041253,"CACHUMA LAKE, CA US",1952-06-07,,,0,0,0,69,53,57
USC00041253,"CACHUMA LAKE, CA US",1952-06-08,,,0,0,0,63,38,50
USC00041253,"CACHUMA LAKE, CA US",1952-06-09,,,0,0,0,71,41,55
USC00041253,"CACHUMA LAKE, CA US",1952-06-10,,,0,0,0,71,43,55
USC00041253,"CACHUMA LAKE, CA US",1952-06-11,,,0,0,0,78,47,51
USC00041253,"CACHUMA LAKE, CA US",1952-06-12,,,0,0,0,68,33,52
USC00041253,"CACHUMA LAKE, CA US",1952-06-13,,,0,0,0,76,35,53
USC00041253,"CACHUMA LAKE, CA US",1952-06-14,,,0,0,0,70,38,52
USC00041253,"CACHUMA LAKE, CA US",1952-06-15,,,0,0,0,77,38,58
USC00041253,"CACHUMA LAKE, CA US",1952-06-16,,,0,0,0,92,38,51
USC00041253,"CACHUMA LAKE, CA US",1952-06-17,,,0,0,0,99,44,57
USC00041253,"CACHUMA LAKE, CA US",1952-06-18,,,0,0,0,87,47,58
USC00041253,"CACHUMA LAKE, CA US",1952-06-19,,,0,0,0,82,45,55
USC00041253,"CACHUMA LAKE, CA US",1952-06-20,,,0,0,0,79,46,56
USC00041253,"CACHUMA LAKE, CA US",1952-06-21,,,0,0,0,75,47,56
USC00041253,"CACHUMA LAKE, CA US",1952-06-22,,,0,0,0,77,39,50
USC00041253,"CACHUMA LAKE, CA US",1952-06-23,,,0,0,0,79,45,58
USC00041253,"CACHUMA LAKE, CA US",1952-06-24,,,0,0,0,77,51,56
USC00041253,"CACHUMA LAKE, CA US",1952-06-25,,,0,0,0,72,48,52
USC00041253,"CACHUMA LAKE, CA US",1952-06-26,,,0,0,0,73,51,63
USC00041253,"CACHUMA LAKE, CA US",1952-06-27,,,0,0,0,75,50,60
USC00041253,"CACHUMA LAKE, CA US",1952-06-28,,,0,0,0,77,43,56
USC00041253,"CACHUMA LAKE, CA US",1952-06-29,,,0,0,0,74,47,60
USC00041253,"CACHUMA LAKE, CA US",1952-06-30,,,0,0,0,76,40,60
USC00041253,"CACHUMA LAKE, CA US",1952-07-01,,,0,0,0,85,42,60
USC00041253,"CACHUMA LAKE, CA US",1952-07-02,,,0,0,0,87,45,64
USC00041253,"CACHUMA LAKE, CA US",1952-07-03,,,0,0,0,90,47,65
USC00041253,"CACHUMA LAKE, CA US",1952-07-04,,,0,0,0,91,48,69
USC00041253,"CACHUMA LAKE, CA US",1952-07-05,,,0,0,0,92,46,66
USC00041253,"CACHUMA LAKE, CA US",1952-07-06,,,0,0,0,93,49,72
USC00041253,"CACHUMA LAKE, CA US",1952-07-07,,,0,0,0,87,48,54
USC00041253,"CACHUMA LAKE, CA US",1952-07-08,,,0,0,0,90,42,55
USC00041253,"CACHUMA LAKE, CA US",1952-07-09,,,0,0,0,90,48,59
USC00041253,"CACHUMA LAKE, CA US",1952-07-10,,,0,0,0,92,43,56
USC00041253,"CACHUMA LAKE, CA US",1952-07-11,,,0,0,0,86,47,52
USC00041253,"CACHUMA LAKE, CA US",1952-07-12,,,0,0,0,84,45,56
USC00041253,"CACHUMA LAKE, CA US",1952-07-13,,,0,0,0,83,42,58
USC00041253,"CACHUMA LAKE, CA US",1952-07-14,,,0,0,0,80,48,56
USC00041253,"CACHUMA LAKE, CA US",1952-07-15,,,0,0,0,84,49,59
USC00041253,"CACHUMA LAKE, CA US",1952-07-16,,,0,0,0,89,52,57
USC00041253,"CACHUMA LAKE, CA US",1952-07-17,,,0,0,0,87,49,55
USC00041253,"CACHUMA LAKE, CA US",1952-07-18,,,0,0,0,88,50,58
USC00041253,"CACHUMA LAKE, CA US",1952-07-19,,,0,0,0,90,50,62
USC00041253,"CACHUMA LAKE, CA US",1952-07-20,,,0,0,0,90,50,54
USC00041253,"CACHUMA LAKE, CA US",1952-07-21,,,0,0,0,89,40,59
USC00041253,"CACHUMA LAKE, CA US",1952-07-22,,,0,0,0,90,45,61
USC00041253,"CACHUMA LAKE, CA US",1952-07-23,,,0,0,0,92,49,65
USC00041253,"CACHUMA LAKE, CA US",1952-07-24,,,0,0,0,95,52,68
USC00041253,"CACHUMA LAKE, CA US",1952-07-25,,,0,0,0,97,62,72
USC00041253,"CACHUMA LAKE, CA US",1952-07-28,,,0,0,0,98,58,69
USC00041253,"CACHUMA LAKE, CA US",1952-07-29,,,0,0,0,98,60,64
USC00041253,"CACHUMA LAKE, CA US",1952-07-30,,,0,0,0,74,53,56
USC00041253,"CACHUMA LAKE, CA US",1952-07-31,,,0,0,0,93,50,61
USC00041253,"CACHUMA LAKE, CA US",1952-08-01,,,0,0,0,91,49,60
USC00041253,"CACHUMA LAKE, CA US",1952-08-02,,,0,0,0,89,50,60
USC00041253,"CACHUMA LAKE, CA US",1952-08-03,,,0,0,0,88,52,56
USC00041253,"CACHUMA LAKE, CA US",1952-08-04,,,0,0,0,90,51,55
USC00041253,"CACHUMA LAKE, CA US",1952-08-05,,,0,0,0,87,51,56
USC00041253,"CACHUMA LAKE, CA US",1952-08-06,,,0,0,0,86,52,58
USC00041253,"CACHUMA LAKE, CA US",1952-08-07,,,0,0,0,91,50,57
USC00041253,"CACHUMA LAKE, CA US",1952-08-08,,,0,0,0,90,48,54
USC00041253,"CACHUMA LAKE, CA US",1952-08-09,,,0,0,0,90,50,56
USC00041253,"CACHUMA LAKE, CA US",1952-08-10,,,0,0,0,86,48,52
USC00041253,"CACHUMA LAKE, CA US",1952-08-11,,,0,0,0,78,50,55
USC00041253,"CACHUMA LAKE, CA US",1952-08-12,,,0,0,0,78,51,55
USC00041253,"CACHUMA LAKE, CA US",1952-08-13,,,0,0,0,80,49,54
USC00041253,"CACHUMA LAKE, CA US",1952-08-14,,,0,0,0,82,47,55
USC00041253,"CACHUMA LAKE, CA US",1952-08-15,,,0,0,0,91,47,54
USC00041253,"CACHUMA LAKE, CA US",1952-08-16,,,0,0,0,94,50,65
USC00041253,"CACHUMA LAKE, CA US",1952-08-17,,,0,0,0,94,48,62
USC00041253,"CACHUMA LAKE, CA US",1952-08-18,,,0,0,0,95,46,60
USC00041253,"CACHUMA LAKE, CA US",1952-08-19,,,0,0,0,95,47,58
USC00041253,"CACHUMA LAKE, CA US",1952-08-20,,,0,0,0,93,48,58
USC00041253,"CACHUMA LAKE, CA US",1952-08-21,,,0,0,0,89,47,56
USC00041253,"CACHUMA LAKE, CA US",1952-08-22,,,0,0,0,90,45,58
USC00041253,"CACHUMA LAKE, CA US",1952-08-23,,,0,0,0,94,46,62
USC00041253,"CACHUMA LAKE, CA US",1952-08-24,,,0,0,0,98,47,57
USC00041253,"CACHUMA LAKE, CA US",1952-08-25,,,0,0,0,92,47,58
USC00041253,"CACHUMA LAKE, CA US",1952-08-26,,,0,0,0,93,48,57
USC00041253,"CACHUMA LAKE, CA US",1952-08-27,,,0,0,0,92,45,58
USC00041253,"CACHUMA LAKE, CA US",1952-08-28,,,0,0,0,87,46,50
USC00041253,"CACHUMA LAKE, CA US",1952-08-29,,,0,0,0,87,47,52
USC00041253,"CACHUMA LAKE, CA US",1952-08-30,,,0,0,0,90,48,61
USC00041253,"CACHUMA LAKE, CA US",1952-09-06,,,0,0,0,89,49,59
USC00041253,"CACHUMA LAKE, CA US",1952-09-07,,,0,0,0,88,44,63
USC00041253,"CACHUMA LAKE, CA US",1952-09-08,,,0,0,0,91,46,48
USC00041253,"CACHUMA LAKE, CA US",1952-09-09,,,0,0,0,83,47,52
USC00041253,"CACHUMA LAKE, CA US",1952-09-10,,,0,0,0,80,49,51
USC00041253,"CACHUMA LAKE, CA US",1952-09-11,,,0,0,0,74,45,50
USC00041253,"CACHUMA LAKE, CA US",1952-09-12,,,0,0,0,76,42,50
USC00041253,"CACHUMA LAKE, CA US",1952-09-13,,,0,0,0,82,41,61
USC00041253,"CACHUMA LAKE, CA US",1952-09-14,,,0,0,0,92,51,62
USC00041253,"CACHUMA LAKE, CA US",1952-09-15,,,0,0,0,96,42,48
USC00041253,"CACHUMA LAKE, CA US",1952-09-16,,,0,0,0,83,43,50
USC00041253,"CACHUMA LAKE, CA US",1952-09-17,,,0,0,0,90,42,46
USC00041253,"CACHUMA LAKE, CA US",1952-09-18,,,0,0,0,93,36,45
USC00041253,"CACHUMA LAKE, CA US",1952-09-19,,,0,0,0,91,44,50
USC00041253,"CACHUMA LAKE, CA US",1952-09-20,,,0,0,0,91,50,60
USC00041253,"CACHUMA LAKE, CA US",1952-09-21,,,0,0,0,92,54,64
USC00041253,"CACHUMA LAKE, CA US",1952-09-22,,,0,0,0,94,54,65
USC00041253,"CACHUMA LAKE, CA US",1952-09-23,,,0,0,0,95,52,60
USC00041253,"CACHUMA LAKE, CA US",1952-09-24,,,0,0,0,94,52,62
USC00041253,"CACHUMA LAKE, CA US",1952-09-25,,,0,0,0,99,56,62
USC00041253,"CACHUMA LAKE, CA US",1952-09-26,,,0,0,0,92,57,65
USC00041253,"CACHUMA LAKE, CA US",1952-09-27,,,0,0,0,95,52,60
USC00041253,"CACHUMA LAKE, CA US",1952-09-28,,,0,0,0,86,50,53
USC00041253,"CACHUMA LAKE, CA US",1952-09-29,,,0,0,0,86,45,53
USC00041253,"CACHUMA LAKE, CA US",1952-09-30,,,0,0,0,87,48,68
USC00041253,"CACHUMA LAKE, CA US",1952-10-01,,,0,0,0,100,49,72
USC00041253,"CACHUMA LAKE, CA US",1952-10-02,,,0,0,0,100,45,59
